"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
398674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0.008,0.00035549491925867
400331,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0.008,0.00035549491925867
401752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0.008,0.00035549491925867
401938,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0.008,0.00035549491925867
407495,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0.008,0.00035549491925867
411004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0.008,0.00035549491925867
411575,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0.008,0.00035549491925867
412675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0.008,0.00035549491925867
432588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0.008,0.00035549491925867
432589,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0.008,0.00035549491925867
432608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0.008,0.00035549491925867
432683,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0.008,0.00035549491925867
433031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0.008,0.00035549491925867
433146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0.008,0.00035549491925867
433641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0.008,0.00035549491925867
434121,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0.008,0.00035549491925867
434143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0.008,0.00035549491925867
434389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0.008,0.00035549491925867
434791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0.008,0.00035549491925867
444603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0.008,0.00035549491925867
445339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0.008,0.00035549491925867
445371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0.008,0.00035549491925867
446833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0.008,0.00035549491925867
446844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0.008,0.00035549491925867
447097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0.008,0.00035549491925867
447099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0.008,0.00035549491925867
447320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0.008,0.00035549491925867
447330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0.008,0.00035549491925867
450596,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,23,0,125,0,0,0,0,0,0.008,0.00035549491925867
